Rk,Team,Attendance
1,Golden State Warriors*,803436
2,Los Angeles Clippers*,785892
3,San Antonio Spurs*,762855
4,Atlanta Hawks*,713909
5,Portland Trail Blazers*,798368
6,Cleveland Cavaliers*,843042
7,Houston Rockets*,747412
8,Memphis Grizzlies*,710502
9,Dallas Mavericks*,827702
10,Chicago Bulls*,886612
11,Oklahoma City Thunder,746323
12,Toronto Raptors*,809824
13,New Orleans Pelicans*,683757
14,Utah Jazz,772059
15,Washington Wizards*,747796
16,Milwaukee Bucks*,593910
17,Indiana Pacers,691434
18,Phoenix Suns,693862
19,Boston Celtics*,721350
20,Detroit Pistons,625917
21,Miami Heat,808223
22,Denver Nuggets,602707
23,Sacramento Kings,680049
24,Brooklyn Nets*,698529
25,Charlotte Hornets,704886
26,Orlando Magic,688194
27,Los Angeles Lakers,768244
28,Minnesota Timberwolves,595652
29,Philadelphia 76ers,571572
30,New York Knicks,812292
